2Tang	wisnu.adji@2tang.co.id
The Body Shop	care@thebodyshop.co.id
Zap	caremanager@zap.co.id
Floridina	catharine@your0associate.com
PT Daikin Airconditioning Indonesia	Catherine.surya@daikin.co.id
Panasonic	ccc@id.panasonic.com
Angkasa pura	center@angkasapura2.co.id
Maybank	chandra@maybank.com
Cheetos	cheetos.indonesia@gmail.com
KULO Group	cherokee.wicaksono@kulogroup.com
PT Industri Jamu dan Farmasi Sido Muncul Tbk	chinta.islamiarni@sidomuncul.co.id
Le Minerale	christi.yonatan@mayora.co.id
Le Minerale V	christi.yonatun@mayora.co.id
Transon Group	christina.indra@gmail.com
Standard Chartered	christopher.aritonang@sc.com
Yuzu	christophorus.m.r@sumbercipta.com
Heinz ABC Indonesia	christy.felicia@id.hjheinz.com
Chuga	chuga.koreanbbq@gmail.com
Harita Group	chynthia.isvara@hjferonikel.com
Goban Cosmetics	chyntia.angel@gobancosmetics.com
Haus Indonesia	cindyalvionita@haus.co.id
Cove	citra@cove.id dan indri@cove.id
Shopee	clairine.ivana@shopee.com
Bank Artha Graha	co_secretary@ag.co.id
Coffee Meets Stocks	coffeemeetstocks@gmail.com
Ceres	cokelatceres@gmail.com
PT Pharma Health Care	combicarecenter@combiphar.com
Wahana Visi Indonesia	comms_indonesia@wvi.or.id
PT Indonesia Weda Bay Industrial Park	communications@iwip.co.id
Ichitan	conny.hozana@ichitan.co.id
PT. Mayora	consumer@mayora.co.id
PT Mayora Tbk	consumer@mayora.co.id / Frida.Surjawinata@mayora.co.id
Loreal	consumeradvisory@loreal.com
Loreal Indonesia	consumeradvisory@loreal.com
QNB	contact.center@qnb.co.id
Decathlon V	contact.indonesia@decathlon.com
Golden Rama	contact.us@goldenrama.com
Tokopedia	contact@tokopedia.com
PT Tripondasi Manunggal v	contact@tripondasi.com
Dua Kelinci	contactus@duakelinci.co.id
PT Sinar Sosro	contactus@sosro.com
Sosro	contactus@sosro.com
RCTI	corcom.rcti@mncgroup.com
Bukalapak	corcom@bukalapak.com
PT. ASTRA	corcomm@ai.astra.co.id
Kalbe	Corp.comm@kalbe.co.id
Kalbe Farma Tbk	corp.comm@kalbe.co.id
PT Kalbe Farma Tbk	corp.comm@kalbe.co.id
PT.KALBE FARMA	Corp.comm@kalbe.co.id
Bank Jago	corporate.communications@jago.com
Tango	corporate.event2015@gmail.com
Bank OCBC NISP	corporate.secretariat@ocbc.id
Bank Syairah Indonesia	corporate.secretary@bankbsi.co.id
Bank Mandiri V	corporate.secretary@bankmandiri.co.id
Garuda food	corporate.secretary@garudafood.co.id
MAP	corporate.secretary@map.co.id
PT Mitra Adiperkasa Tbk (MAP)	corporate.secretary@map.co.id
Indofood	corporate@indofood.co.id
Telkom	corporate_comm@telkom.co.id
Telkom Indonesia V	corporate_comm@telkom.co.id
aibu	corsec@bankmega.com
Bank Mega	corsec@bankmega.com
Kimia Farma V	corsec@kimiafarma.co.id
Lippo Group	corsec@lippokarawaci.co.id
Reliance Sekuritas Indonesia	corsec@reliancesekuritas.com
Shell	crtfuels-id@shell.com
Cakekinian	cs.cakekinian@gmail.com
Chitato	cs.ifl@icbp.indofood.co.id
Chitato V	cs.ifl@icbp.indofood.co.id
Erha	cs.sg@erhastore.com
PT Alpen Food Industry (Aice)	cs@aice.co.id
Bakmi GM	cs@bakmigm.co.id
Bath n Body Works	cs@bathandbodyworks.co.id
Cakap	cs@cakap.com
Go apotik	cs@goapotik.com
Indosat	cs@indosatooredoo.com
Kusukachips	cs@kusuka.co.id / 8111901048
Lister	cs@lister.co.id/info@lister.co.id
Mamikos	cs@mamikos.com
Nature Republic	cs@naturerepublic.id
Pegi-pegi	cs@pegipegi.com
Polytron	cs@polytron.co.id
SeaBank	cs@seabank.co.id
Skintific	cs@skintific.com
Sociolla	cs@sociolla.com
Softex indonesia	cs@softexindonesia.com
Telkomsel	cs@telkomsel.com
Ternak Uang	cs@ternakuang.id
Ticket . com	cs@ticket.com
Traveloka	cs@traveloka.com
Verde Sports Hub	cs@verdesportshub.com
Innisfree	cs_id@innisfree.com
Trimegah Asset Management V	cs_tram@trimegah.com
Lazada Indonesia	CSID@care.lazada.com
BCA Indonesia	csr@bca.co.id
Bunda konicare	Customer _service@konimex.com
Blibli	customer.care@blibli.com
McDonalds	customer.care@id.mcd.com
PT. Santos Jaya Abadi	customer.ecommerce@fastratabuana.co.id
Prudential	customer.idn@prudential.co.id
Enesis Group	customer.service@enesis.com
Nu Green Tea	customer@abcpresident.com
Garuda Indonesia	customer@garuda-indonesia.com
Zalora	customer@id.zalora.com
Hydro Coco	customer@kalbenutritionals.com
Nutrisari	Customer@nutrifood.co.id
Pristine	customer@pristineofficial.com
Cleo	customer@tanobelfood.com
PT United Family Food	customer@unitedfamilyfood.com
Kiyora	customer_care@ultrajaya.co.id
PT Ultrajaya Milk Industri Tbk	customer_care@Ultrajaya.co.id
PT Ultrajaya Milk Industry	customer_care@ultrajaya.co.id
The Kotak (PT. Ultra Jaya Milk Industri Tbk.)	customer_care@ultrajaya.co.id
Ultra jaya milk industri	Customer_care@ultrajaya.co.id
Ultra Milk V	customer_care@ultrajaya.co.id
April (Paper One) v	customer_service@aprilasia.com
Konimex	Customer_Service@konimex.com
Adira Finance	customercare@adira.co.id
Soyjoy	customercare@aio.co.id
Soyjoy v	customercare@aio.co.id
PT Blue Bird Tbk	customercare@bluebirdgroup.com
Good day	customercare@citarasa-indonesia.com
Klik Indomaret	customercare@klikindomaret.com
Nutrijell	customercare@nutrijell.com
PT Telkomsel	customercare@telkom.co.id
Bank Victoria	customercare@victoriabank.co.id
Yoshinoya	customercare@yoshinoya.co.id
Dunkin Donuts	customerservice@dunkinbrands.com
Gojek	customerservice@go-jek.com
Sephora	CustomerService@sephora.com
Xl Axiata	customerservice@xl.co.id
Uniqlo	customersupport@uniqlo.co.id
Goban Cosmetics	cynthia.angel@gobancosmetics.com
Kopi Konichiwa	cynthia@konichiwa.agency
Konnichiwa Group	Cynthia@konnichiwa.agency
akulaku	cynthiawinatacw@gmail.com
Dancow	Dancow.parentingcenter@id.nestle.com
Orang Tua Group	daniel.haryanto@ot.id
Snapy	dannielstppik@gmail.com
Japfa Comfeed Indonesia	darwis.rahmansyah@japfa.com
Singa Mas	david.hartono@cp.co.id
Line Bank by Hana Bank V	db.partnership@kebhana.co.id
Rosy Posy	Dear.rosyposy@gmail.com
Dear Me Beauty	dearmebeautyofficial@gmail.com
Female Daily Network	debbieserafina93@gmail.com
PT Sinar Sosro	denta.anggakusuma@sosro.com
Sosro	denta.anggakusuma@sosro.com
Deca Group	devie.diana@everwhite.co.id
Fore Coffee	devita@fore.coffee
Danone Indonesia	dewi.suryani@danone.com
Indomilk	dewi.susanti@indomilk.com
Burger King V	dewi.utami@burgerking.co.id
NH Korindo Sekuritas Indonesia	dhana.putrakusuma@nhsec.co.id
BNI	dhanu.waluyo@bni.co.id
Avoskin	dhearara@avo.co.id
Astra International	diah.wahyuutami@ai.astra.co.id
Wardah Make Up Artist	dianaditama92@gmail.com
Fiesta nugget	Dianawati.taslim@cp.co.id
PT Nutrifood Indonesia	dianmariani@nutrifood.co.id
JF The Skin Specialist	digital.marketing@galenium.com
Herbilogy	Dikna.Febrianti@herbilogy.com
PT Unilever Indonesia	diko.handono@unilever.com
Gramedia	dion.wisnu@gramediapublishers.com
PT.Mustika Ratu,Tbk	distibutor.service@mustika-ratu.co.id
The Body Shop	dita-agustia@thebodyshop.co.id
Indosat Ooredoo (PT. Indosat Mega Media)	Division Head Public Relations
PT Indofood Sukses Makmur Tbk	donny.arzie@indofood.co.id
Lazada	dpo.th@care.lazada.com
Dua Kelinci	duakelinci.socmed@gmail.com
Dua kelinci	Duakelinci.sosmed@gmail.com
PT Bank Digital BCA	duardi.prihandiko@bcadigital.co.id
PT Duraconindo Pratama v	duracon90@gmail.com
PT. Frisian Flag Indonesia	Dwi.Sriningsih@frieslandcampina.com
Dwidaya Tour	dwisc@dwidayatravel.com
Tokopedia	dyah.ayu@tokopedia.com
Manulife Indonesia	dylan_muliawan@manulife.com
SKK Migas	ebiantoro@skkmigas.go.id
Telkomsel	ebpatricia@gmail.com
Bank Nobu	echannels.support@nobubank.com
Kino	Ecommerce@kino.co.id
Garuda Indonesia	edi.wardojo@garuda-indonesia.com
Frisian Flag	editor@frieslandcampina.com
Tokopedia	efraim.soejoto@tokopedia.com
PT Korea Tomorrow & Global Indonesia	eka_noviaharilinawan@ktng.com
Gramedia	elisabeth@gramedia.com
Wardah	elsa.maharani@pti-cosmetics.com
Wardah Make Up Artist	elsa.maharani@pti-cosmetics.com
L'Oreal Indonesia	ElsaAlicia.GERUNG@loreal.com
PT Nipsea Paint and Chemical (Nippon Paint)	enquiry@nipponpaint-indonesia.com
PT Ori Polytec Composite	enquiry@ori.co.id
Metrodata Online	erdyanti@metrodata.co.id
Wings Group	ervita.setiawati@sayapmasutama.com
PT Unilever Indonesia	erwin-cahaya.adi@unilever.com
PT. Electronic City Indonesia, Tbk.	ester.iskak@electronic-city.co.id
PT MNC Kabel Mediacom (MNC Play)	estira.abi@mncgroup.com
PT Puyo Indonesia Kreasi	eugenie.patricia@puyo.com
PT Puyo Indonesia Kreasi (Puyo Dessert)	eugenie.patricia@puyo.com
PT Unilever Indonesia	evan.rickyanto@unilever.com
ASTRO	evan@astronauts.id
Goers	event@goersapp.com
Ternak Uang	event@ternakuang.id atau partnership@ternakuang.id
Zenius	fabsya.farazzahra@zenius.net
PT Amerta Indah Otsuka	fadhlie@aio.co.id
Cakap	fanni@cakap.com
PT Realfood Winta Asia	fannyo@realfood.co.id
Shopee	farah.alika@shopeemobile.com
Etude	Farazenia.luzvira@gmail.com
L'Oreal	fayanisa.dwityarani@loreal.com
L'Oreal Indonesia	fdwityarani@id.loreal.com
D Crepes	feedback@dcrepes.com
Oishi Indonesia	feedback@oishi.co.id
Fukumi	felicia.fukumi@gmail.com
Blibli.com	felisitas.y.ndiki@gdn-commerce.com
Electronic City	fellix_gk@live.com
Ninja Xpress	ferisa.putri@ninjavan.co.
Wings Group Indonesia	ferryk.wijaya@wingscorp.com
Fujifilm	ffid.support@fujifilm.com
Tombow Indonesia	florencia_setiawan@datascrip.co.id
Tutup Panci Bistro	florencia_setiawan@datascrip.co.id
Aice	form : https://aice.co.id/contact-us
PT Amerta Indah Otsuka	form: https://www.aio.co.id/contact
Sinarmas Land	fransisca.mayangsari@sinarmasland.com
Fresh Care	freshcareidn@gmail.com
Fruit tea	fruitteaid@gmail.com
Fruit tea	fruitteaid@gmail.com
Aqua	gabriel.keefe@danone.com
Marina Natural V	gati@tempogroup.com / dian@tempogroup.com / vidya@tempogroup.com
Oakwood Cozmo	general.premier-cozmo-jakarta@oakwood.com
Indofarma Tbk,	general@indofarma.co.id
WingsFood	ghassaniadani.indrayhna@wings.com
Lemonilo	ghea.stefani@lemonilo.com
Lemonilo	gilang.muhamad@lemonilo.com
Ajaib	gladys.pratiwi@ajaib.co.id
PT. Mitra Adi Perkasa	gloria.ek@gmail.com
JS Luwansa Hotel Jakarta	gm@jsluwansa.com) dobd@jsluwansa.com) hm@jsluwansa.com)
Gopotato Indonesia	gopotatosiantartop@gmail.com
J&T	gracedeliacunnoris@gmail.com
Bank National NOBU	graceyana.sidabutar@nobu.se
PT. Mayora Indah Tbk	graciaalexandra@mayora.com
Anteraja	gratia.emellie@anteraja.id
Greenfield	greenfields.consumerfeedback@japfa.com
PT. Pinnacle Persada Investama	guntur.putra@pinnacleinvestment.co.id
Pullman	H8491@accor.com
Jamkrindo	hafizah@jamkrindo.com
Matahari	halo@matahari.com
Wahyoo	halo@wahyoo.com
BCA	halobca@bca.co.id
PT Unilever Indonesia	halohanie@gmail.com
Swissotel PIK	HB590@accor.com.
PT. Tiga Pilar Sejahtera Food Tbk.	helen.g@tigapilar.com
Shirokuma	hello@cafeshirokuma.com
Flash Coffee	hello@flash-coffee.com
Fore	hello@fore.coffee / 08121118456
Hiro Group	hello@hirogoup.co.id
JCO Indonesia	hello@jcodonuts.com
Kopi Kenangan	hello@kopikenangan.com
Kopi Kenangan	hello@kopikenangan.com,ayu@kopikenangan.com
Maxx Coffee	hello@maxx-coffee.id
puyo	hello@puyodesserts.com
Puyo v	hello@puyodesserts.com
Realfood	hello@realfood.co.id
Shushu	HELLO@TEANCO.COM
Azarine Cosmetics	helloazarine@gmail.com
Bank Danamon	hellodanamon@danamon.co.id
hello panda	hellopandaindonesia.meiji@gmail.com
Cotton ink	help@cottonink.co.id
Halo doc	help@halodoc.com.
Saturdays	help@saturdays.com
Secondate	help@secondatebeauty.com
Shopee Indonesia	help@support.shopee.co.id
PT Kustodian Sentral Efek Indonesia	helpdesk@ksei.co.id
The Goods Dept	hendrick@thegoodsdept.com
HSBC	henrikohusada@hsbc.co.id
Lemonilo	hi@lemonilo.com
Good Day	hidupbanyakrasa@gmail.com
PT Universal Tekno Reksajaya (UT Group)	hiroko.jodi@utr.co.id
Obscura TV/Inc	HOO@Obscura.tv
Kraft Heinz Compant	HR.HeinzABC@id.hjheinz.com
PT.OASE Teknologi Asia	hrd.ptoase@gmail.com
PT Yishan Teknologi Indonesia	hrd.yishanindonesia@gmail.com
AJB Bumiputera	hrd@bumida.co.id
PT Kao Indonesia	hrinfo@kao.co.id
PT.Wook Global Technology	hrrecruitment@wook.id
Nutrisari	http://nutrifood.co.id/partnership/
Eiger	https://eigeradventure.com/proposal
IPOT / indo premier	https://indopremier.com/#ipot/contact-us/
Kompas	https://muda.kompas.id/sponsorship/
Kompas V	https://muda.kompas.id/sponsorship/
SerbaFood	https://serbafood.com/kontak_kami
Kino	https://www.kino.co.id/contact-us
Nutrifood	https://www.nutrifood.co.id/partnership/
Maybelline	Httsps://www.maybelline.co.id/contact-US
PT Procter & Gamble Home Products Indonesia	human.capital@pg-am.com
Bank Raya	humas@bankraya.co.id
hydrococo	hydrococohydro@gmail.com
Hydrococo bits (Kalbe)	hydrococohydro@gmail.com / promosi@myhydrococo.com
PT Sepatu Bata	Id.customerservice@bata.com
Nestle	id.sponsorship@idnestle.com
Post-It	idpostit@gmail.com
IDP	ielts.indonesia@idp.com
IELTS	ieltsindonesia@ialf.edu
PT Unilever Indonesia Tbk	Ignatius.Harman@unilever.com
RGE	ignatius_purnomo@rgei.com
Lazada Indonesia	ikhsan.anchan@lazada.co.id
Sayurbox	ilham@sayurbox.com
Sensodyne	in.customer-relations@gsk.com
The Body Shop	indah-syarifah@thebodyshop.co.id
PT LC Indonesia	indolongchuan@yahoo.com.tw
Indomie	indomie@icbp.indofood.co.id
Crimson Education	indonesia@crimsoneducation.org
Walls	indonesiawalls@gmail.com
Wall's	indonesiawalls@gmail.com
Diamond	indri@diamond.co.id
PT Unilever Indonesia Tbk	Indriarni.Pramaning@unilever.com
L'Oreal Indonesia	IndriLastina.SUDARMADJI@loreal.com
Maspion	info.hq@maspion.com
h&m	info.id@hindo.co.id
Hotel Mulia	info.jakarta@hotelmulia.com
Makarizo	info@akashainternational.com
Bibit	info@bibit.id
ChineseRd	info@chineserd.com
Coca-Cola	info@coca-cola.co.id
Dear Butter	info@dbgroup.com
Dear Butter	info@dearbuttergroup.com
Et cetera	info@delamibrands.com,csonline@etcetera.co.id
Adem sari	info@enesis.com
PT.Minitech Finance Indonesia	info@fintech.id
Frestea	info@frestea.co.id
PT Global Ekspres Delivery	info@globexdelivery.com
Go Wet	info@gowet-grandwisata.com
PT Jakarana Tama	Info@jakaranatama.co.id
PT. Kapal Api Global	info@kapalapi.co.id
KLUEGE INTERNATIONAL	info@kluege.com
Kulo Group	info@kulogroup.com
Mamasuka	info@mamasuka.com
Regal	info@marieregal.com
Lippo Mall Puri	info@mcimanagement.com
Mercure Hotel V	info@mercureserpongalamsutera.com
My tea	info@myteaid.com
PT Kaldu Sari Nabati Indonesia	Info@nabatisnack.co.id
Nissin	info@nissinbiscuit.com
Ruang Guru	info@ruangguru.com
Ruangguru	info@ruangguru.com
PT Samyang Indonesia	info@samyangindo.com
PT. Sido Muncul	info@sidomuncul.co.id
Silver Queen	info@silverqueensantai.com
Sinarmas Land Plaza	info@sinarmasland.com
Sirclo	info@sirclo.com
Subway Indonesia	info@subway.co.id
Sucor Sekuritas	info@sucorinvestam.com
Sun Education	info@suneducationgroup.com
Truemoney (e-money)	info@truemoney.co.id
Tunas Group	info@tunasgroup.com
Freshcare	info@ultrasakti.com
Urban Life	info@urbanlifestore.com
Vidio.com	info@vidio.com
Wellborn Company	info@welborncompany.com
Wikimedia Indonesia	info@wikimedia.or.id
Wong coco	info@wongcoco.com
PT.XCMG GROUP INDONESIA	info@xcmgexport.com
Wardah	inspiringbeauty@wardahbeauty.com
PT GO-JEK Indonesia	intan.f@go-jek.com
Orang Tua Group	inu.puguh@ot.id
Indo Premier Sekuritas	investindonesia@ipc.co.id
HokBen	irma.wulansari@hokben.co.id
Microsoft	irwan.1.hermawan@microsoft.com
PT AEON INDONESIA	Istiqomah.putri@aeonindonesia.co.id
Stockbit	it@stockbit.com
Elle & Vire Professionnel	ivan.dobrowolski@elvir.fr
PT. ASTRA	ivestor@ai.astra.co.id
PT Indo Nutrisi Jaya	ivo.selvianiar20@gmail.com
Heavenly Blush	ivonne.aryanti@heavenlyblush.com
Samsung	j.tjondro@samsung.com
Jacob Biskuit	Jacobiscuits.idn@gmail.com
Raffles Jakarta	jakarta@raffles.com
Maybank Indonesia	jazzy.refadebby@maybank-ke.co.id
Luwak	jeff_susanto@yahoo.com
Luwak White coffee	jeff_susanto@yahoo.com
Argenta Adhiloka Pratama	jeffry@argenta.co.id
Jenius	jenius-help@btpn.com
Mantappu Corp	jeromepolin@mantappu.com
Baidu	jesse_broz@hotmail.com
Samsung	jessica.v@samsung.com
Flimty	jihanabigail@flimty.com
Top Coffee V	jjcommunicationcorp@gmail.com
PT Unilever Indonesia	johan.lie@unilever.com
PT SMART Tbk	johlizaan.ferdinandez@goldenagri.com.sg
PT Danone Aqua	Jokoherlambang2009@gmail.com
PT. Mayora Indah Tbk	jonathan.setiadi@mayora.com
PT. Mayora Indah Tbk	jonathan_setiadi@mayora.com
BCA	jurvian_sumadi@bca.co.id
Kanzler	kanzlersosis@gmail.com
Decathlon	kareempello@gmail.com
LG Electronics	karel.leonardo@lge.com
ZTE	katarinawidjaja@yahoo.com
Nestle	katri.wulandari@id.nestle.com
Nestle	katri.wulandari@id.nestle.com / nestle.indonesia@id.nestle.com
Kiyora	keyaccount.01@kiyora.co.id
Hotel Raffles Jakarta	kezia.abigael@raffles.com
DANAMON Bank	keziaivana98@gmail.com
Flip.id	khansa@flip.id
KINA	kharisma.kopikina@gmail.com
Kopi Janji Jiwa	kimy_hd@yahoo.com
Indomaret	kontak@indomaret.co.id
Lexus Indonesia	krisanty.tanwira@toyota.astra.co.id
PT Valbury Asia Futures	kuncoro.karuniawati@valbury.com
Delfi	kusumawati@nirwanalestari.com
Shopee	kvin.surya@gmail.com
Mantappu Corp	l.will@mantappu.com
Yakult	lactobacillusshirota@gmail.com
Jiwa Group	ladyyowanda@jiwagroup.com
General Electric	larrasanti.tirtosudarmo@ge.com
PT Bank Central Asia Tbk	laura_sutrisna@bca.co.id
Aneka Foto	laurenshansel@gmail.com
fiesta food	layanan.konsumen@cpfood.co.id
Indomilk	layanan.konsumen@indomilk.com
PT Indolakto (Indomilk)	layanan.konsumen@indomilk.com
Cadburry	layanan.konsumen@mdlz.com
Kraft	Layanan.Konsumen@mdlz.com
PT Frisian Flag Indonesia	layanan.peduli@frieslandcampina.com / Dwi.Sriningsih@frieslandcampina.com
Real good	layanansogoodfood@japfa.com
PT Unilever Indonesia	leidya.leksokumoro@unilever.com
Bank Jago	lenachow@jago.com
Lidi Geli	lidigeli@gmail.com
CIMB NIAGA	lie.suang@cimbniaga.co.id
Allure AI	lila@allure.id
Allure Al	lila@allure.id
Nippon Paint	lindakam@nipponpaint-indonesia.com
Tissue Sneakers (PT. APACK) v	linkedin.com/in/rafael-ruslandi-549723b3
OCBC	lisa.christiana@ocbcnisp.com
PT.sinamyang indonesia	lisayang@sinamyang.com
Byu	liu@byu.id
Liunic on Things	liuniconthings@gmail.com
Oishi	lmcmarketing@oishi.com.ph
PT Nawakara Perkasa Nusantara	louise.sylviana@nawakara.com
Investree	lovis@investree.id
Johnson & Johnson	LPermata@its.jnj.com
Makeover	lucia.ch@pti-cosmetics.com
Citilink	luthfi.hergitasari@citilink.co.id
ATM Capital	lydia@atmcapital.com
Aerofood	m.anwarizqa@aerofood.co.id
Khong Guan	m.reza@khongguan-group.com
Yupi Indonesia	mailme@yupindo.com
Bank BTPN	mailto:info@btpn.com
Mandiri	mandiricare@bankmandiri.co.id
Mandiri Indonesia	mandiricare@bankmandiri.co.id
PT Amidis Tirta Mulia	mani.amidis@gmail.com
SiCepat	maqna@sicepat.com
Total 8+	marcellinus.raditya@banyangroup.co.id
Gaudi	Marcomm@Gaudi-Clothing.Com
Halokas	mardhi.kahan@finaccel.co - najwa.assilmi@finaccel.co
PT Puyo Indonesia Kreasi (Puyo Dessert)	margarita@puyodesserts.com
Bantex v	maria_pangestu@bantex.co.id
Hangry	marissa.halim@ishangry.com
Amidis	marketing.amidis@gmail.com
PT Perintis Triniti Properti Tbk	marketing.collinsboulevard@gmail.com
OCBC NISP	marketing.communication@ocbcnisp.com
Dapur Solo	marketing.dapursolo1988@gmail.com
PT. Hasil Damai Textile	marketing.export1@hadtex.com
Tissue Tessa	marketing.info@tessatissue.com
MNC	marketing.mncc@mncgroup.com
Bareksa	marketing@bareksa.com
Bibit	marketing@bibit.id
Bukalapak	marketing@bukalapak.com
Dunkin Donuts	marketing@dunkindonuts.co.id
Chattime	marketing@fbindonesia
Chatime	marketing@fbindonesia.com
Nutrijell V	marketing@forisa.co.id
Gramedia	marketing@gramediaonline.com
Inaco	marketing@inacofood.com
PT Niramas Utama	marketing@inacofood.com
Sahabat inaco	marketing@inacofood.com
Mamasuka	marketing@jicoagung.co.id
ABC Kogen Dairy V	marketing@kindairy.com
Look Boutique Store	marketing@lookboutiquestore.com
LOTTE-Xylitol	marketing@lotte.co.id
Menantea	marketing@menantea.co.id
PT Sappe Indonesia (Mogu Mogu)	marketing@sappeindonesia.co.id
Sayurbox	marketing@sayurboxl.com
Seabank	marketing@seabank.co.id
Tolak angin	marketing@sidomuncul.com
